date,event1,url
23-Jun-20,GE2020: A new four-member Sengkang GRC created,https://www.straitstimes.com/politics/singapore-ge2020-15-ways-the-general-election-on-july-10-will-differ-from-past-polls
27-Jun-20,WP's candidates includes an economics professor and social activist,https://www.businesstimes.com.sg/government-economy/economics-professor-activist-among-wps-second-batch-of-ge-candidates
30-Jun-20,Nomination Day: WP to contest Sengkang GRC,https://www.businesstimes.com.sg/government-economy/ge2020-wp-to-contest-pap-at-sengkang-grc
2-Jul-20,WP tackes jobs and productivity issues in second online rally,https://www.straitstimes.com/politics/wp-tackles-jobs-and-productivity-issues-in-second-online-rally
4-Jul-20,PM joined PAP Sengkang team in Facebook live session,
7-Jul-20,Ng Chee Meng in Chinese Media Group's live show and WP's Sengkang GRC team appeals to generation of young adults,https://mothership.sg/2020/07/workers-party-sengkang-grc-broadcast/
11-Jul-20,WP won Sengkang GRC with 52.13% of votes,https://www.straitstimes.com/politics/ge2020-results-wp-projected-to-win-sengkang-grc-with-53-of-votes-based-on-sample-count
12-Jul-20,Analysts break down hows and whys WP won Sengkang GRC and Shanmugam gives his take on PAP's loss in Sengkang,"https://www.straitstimes.com/politics/a-watershed-election-and-new-normal
https://www.asiaone.com/singapore/ge2020-shanmugam-gives-take-younger-generations-different-approach-race-relations-and-pap"
13-Jul-20,WP ready to work with NCMPs from other parties,https://www.straitstimes.com/politics/wp-ready-to-work-with-ncmps-from-other-parties-as-constructive-opposition
19-Jul-20,WP to run new Sengkang Town Council on its own,https://www.asiaone.com/singapore/new-sengkang-town-council-be-run-its-own-wps-he-ting-ru-be-chairman
